gene_id,log2FoldChange,pvalue,padj
YMR169C,3.05523,9.11287e-10,2.3937e-08
YMR170C,2.245716,3.462962e-07,4.648302e-06
YMR175W-A,1.495338,0.00139145,0.005721656
YMR224C,1.098308,8.864261e-06,7.586911e-05
YMR251W-A,1.359727,0.0004087231,0.002031614
YMR277W,1.085164,1.143806e-05,9.470587e-05
YMR295C,1.906573,5.409022e-23,9.98866e-21
YNCC0002W,11.43231,0.0001118873,0.0006946242
YNCC0005W,1.792645,0.003084494,0.01122874
YNCD0010C,1.806211,7.166962e-08,1.1585e-06
YNCD0026W,2.610945,0.001771427,0.007014343
YNCD0030W,1.007707,0.0007749443,0.003500749
YNCE0011C,3.686191,8.53995e-09,1.758191e-07
YNCF0012C,1.791647,0.00308705,0.01123133
YNCG0026W,1.504836,7.361573e-05,0.0004823809
YNCG0034W,1.081793,0.006678369,0.02099999
YNCG0039W,3.678658,0.00106707,0.00458261
YNCG0040C,2.884082,0.001530278,0.006212867
YNCG0044C,3.714198,1.15709e-09,2.925854e-08
YNCG0047C,1.592424,0.0006829066,0.003150366
YNCG0048W,1.132742,0.0003494597,0.001790046
YNCH0014W,1.115154,0.001012019,0.004373933
YNCI0001W,1.378508,3.348373e-13,1.943332e-11
YNCI0010C,22.00286,2.332171e-08,4.400077e-07
YNCI0013W,4.521079,2.939588e-13,1.722485e-11
YNCJ0003C,1.595284,5.432073e-06,5.015614e-05
YNCJ0019C,20.42436,1.991763e-10,6.019239e-09
YNCJ0024W,19.61531,1.737671e-07,2.527295e-06
YNCK0004W,16.65031,1.094572e-05,9.112458e-05
YNCK0008W,1.133247,0.006205656,0.01976488
YNCK0009W,3.314388,3.095575e-09,7.0128e-08
YNCM0005C,1.209105,0.001023942,0.004412943
YNCM0012W,1.52791,4.536899e-06,4.269301e-05
YNCM0013W,1.610113,2.084598e-05,0.0001587943
YNCM0014W,1.107609,0.0003125408,0.001625106
YNCM0017W,1.097316,6.889462e-05,0.0004583448
YNCP0003W,1.769592,0.0001713345,0.0009776335
YNCP0007C,15.30828,3.436877e-05,0.0002481555
YNL058C,1.773673,1.213967e-13,7.626718e-12
YNL088W,1.102369,2.825502e-11,1.076163e-09
YNL133C,1.044953,1.548538e-08,2.995807e-07
YNL143C,1.379512,0.0009743592,0.004229163
YNL227C,1.495101,5.530947e-16,5.030685e-14
YNL232W,1.345084,7.493755e-09,1.563936e-07
YNL245C,1.257253,1.22531e-08,2.44821e-07
YNL269W,1.468409,0.002112417,0.008106465
YNL270C,1.2913,0.0003808835,0.001921612
YNL299W,1.146886,3.922418e-05,0.0002792431
YNR022C,1.777875,4.059528e-28,1.1244890000000001e-25
YNR038W,2.165443,1.713857e-15,1.45059e-13
YNR039C,1.027085,3.73214e-06,3.638986e-05
YOL022C,1.037032,5.415125e-08,9.238824e-07
YOL027C,1.221302,3.260315e-11,1.226442e-09
